VendorNumber,VendorName,Brand,PurchasePrice,Description,Actual_price,Volume,TotalPurchaseQuantity,Total_Purchase_Dollars,Total_Sales_Quantity,Total_Sales_Dollars,Total_Sales_Price,Total_Excise_Tax,TotalFreight,Profit,ROI,Profit_Margin,StockTurnover,Sales_Per_Purchase
3664,WILLIAM GRANT & SONS INC,1300,1550.38,Ladyburn 41 Yr Old Scotch,1999.99,750.0,2,3100.76,3.0,5999.97,5999.97,2.37,30234.420000000002,2899.21,0.9349998064990518,48.32040826870801,1.0,1.5
9552,M S WALKER INC,33035,5.88,Cape Indaba Chard S Africa,8.99,750.0,527,3098.76,547.0,5071.53,3319.4300000000003,60.550000000000004,55551.82,1972.7699999999995,0.636632072183712,38.89891216260181,20.0,1.0379506641366223
9552,M S WALKER INC,19583,221.08,Lokoya Mt Veeder Cab Svgn,324.99,750.0,14,3095.1200000000003,11.0,3574.8900000000003,1299.96,1.23,55551.82,479.77,0.1550085295562046,13.420552800226018,-3.0,0.7857142857142857
9165,ULTRA BEVERAGE COMPANY LLP,4583,17.29,Perc Coffee Liqueur,31.99,750.0,179,3094.91,273.0,6276.2699999999995,3540.4599999999996,215.06,68054.7,3181.3599999999997,1.0279329608938548,50.688705234159784,94.0,1.5251396648044693
653,STATE WINE & SPIRITS,24774,8.38,J Bouchon Canto Norte,14.99,750.0,369,3092.2200000000003,220.0,2857.8,1493.8500000000001,24.47,8014.9800000000005,-234.42000000000007,-0.07580961251139959,-8.202813352928828,-149.0,0.5962059620596206
9744,FREDERICK WILDMAN & SONS,26685,36.77,Ch Fuisse Pouilly Le Clos 14,56.99,750.0,84,3088.6800000000003,9.0,512.91,341.94,1.0,3999.93,-2575.7700000000004,-0.833938769959983,-502.1875182780606,-75.0,0.10714285714285714
8673,STE MICHELLE WINE ESTATES,24241,11.61,Tenet Syrah Le Fervent,17.99,750.0,266,3088.2599999999998,200.0,2833.5,1896.1799999999998,22.17,15919.7,-254.75999999999976,-0.08249305434127949,-8.991000529380615,-66.0,0.7518796992481203
7245,PROXIMO SPIRITS INC.,1995,73.52,Jose Cuervo R Rolling Stones,99.99,750.0,42,3087.84,42.0,4199.58,2199.7799999999997,33.089999999999996,38994.78,1111.7399999999998,0.3600380848748639,26.47264726472647,0.0,1.0
1392,CONSTELLATION BRANDS INC,40926,3.28,Taylor Madeira NY,4.99,750.0,941,3086.48,936.0,4670.64,3168.65,103.66,79528.99,1584.1600000000003,0.5132578212073301,33.91740746450166,-5.0,0.9946865037194474
4425,MARTIGNETTI COMPANIES,10021,7.89,Clayhouse Syrah Paso Robles,12.99,750.0,391,3084.9900000000002,378.0,5424.22,3670.43,41.910000000000004,144929.24,2339.23,0.7582617771856635,43.12564755854298,-13.0,0.9667519181585678
10754,PERFECTA WINES,15552,8.05,Senda 66 Tempranillo,11.99,750.0,383,3083.1499999999996,414.0,5003.86,3233.33,45.910000000000004,28720.52,1920.71,0.6229700144332907,38.38456711418785,31.0,1.080939947780679
4425,MARTIGNETTI COMPANIES,27406,25.67,Hourglass Estate Svgn Bl,37.99,750.0,120,3080.4,10.0,379.90000000000003,379.90000000000003,1.1,144929.24,-2700.5,-0.876671860797299,-710.8449591997894,-110.0,0.08333333333333333
7153,PINE STATE TRADING CO,2851,4.5,Mother's Apple Pie Liqueur,5.99,750.0,684,3078.0,705.0,6337.95,3155.4900000000002,555.32,15884.82,3259.95,1.05911306042885,51.43540103661278,21.0,1.030701754385965
9552,M S WALKER INC,16468,7.79,Gerard Bertrand Chard Rsv Sp,13.99,750.0,395,3077.05,384.0,4734.16,2877.66,42.58,55551.82,1657.1099999999997,0.5385385352854193,35.003252953005386,-11.0,0.9721518987341772
4425,MARTIGNETTI COMPANIES,24992,36.18,Buglioni L'Amarone,54.99,750.0,85,3075.3,78.0,4289.22,3134.4300000000003,8.63,144929.24,1213.92,0.39473222124670765,28.301649250912753,-7.0,0.9176470588235294
7153,PINE STATE TRADING CO,1048,5.11,Mother's Holiday Nog,6.49,750.0,601,3071.11,679.0,6104.21,2166.59,534.66,15884.82,3033.1,0.9876233674469491,49.68865750031535,78.0,1.1297836938435941
10754,PERFECTA WINES,26802,36.54,L Aubry Fils Rose Brut 1 Cru,52.99,750.0,84,3069.36,38.0,2013.6200000000001,1589.7,4.2,28720.52,-1055.74,-0.34396095602992155,-52.42995202669818,-46.0,0.4523809523809524
9165,ULTRA BEVERAGE COMPANY LLP,25813,8.27,Ch Rombeau L'Eleve 13,11.99,750.0,371,3068.17,120.0,1438.8,743.38,13.35,68054.7,-1629.3700000000001,-0.5310559714748531,-113.24506533222132,-251.0,0.32345013477088946
9552,M S WALKER INC,27433,10.88,Emilio Lustau Fino Sherry,15.99,750.0,282,3068.16,228.0,3715.72,2731.33,25.19,55551.82,647.56,0.211058093450146,17.427577966046957,-54.0,0.8085106382978723
3252,E & J GALLO WINERY,24033,3.15,Canyon Rd Svgn Bl,4.79,750.0,973,3064.95,947.0,4536.13,354.46,106.49000000000001,61966.91,1471.1800000000003,0.4800013050783864,32.43249201411776,-26.0,0.9732785200411099
17035,PERNOD RICARD USA,15745,14.28,Sandeman 10 Yr Tawny Port,23.99,750.0,214,3055.92,231.0,6569.69,5285.16,25.490000000000002,123780.22,3513.7699999999995,1.149823948270897,53.48456319856797,17.0,1.0794392523364487
1392,CONSTELLATION BRANDS INC,42603,5.99,3 Blind Moose Merlot Cal,10.99,750.0,509,3048.91,715.0,6951.85,3755.15,79.48,79528.99,3902.9400000000005,1.2801099409297096,56.1424656746046,206.0,1.4047151277013752
9165,ULTRA BEVERAGE COMPANY LLP,15404,16.21,Dom Serene Rose,23.99,750.0,188,3047.48,234.0,5676.66,2736.87,26.060000000000002,68054.7,2629.18,0.8627390499691547,46.31561516807418,46.0,1.2446808510638299
